NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
8268,경기도 용인시 수지구 상현동,1219,1219,0,광교상현솔하임,33.903,202607,10,"30,000",-,5,개인,개인,2021,상현로 6,-,중개거래,경기 용인시 수지구,-
8269,경기도 용인시 수지구 상현동,857,857,0,성복역아이파크,84.9716,202607,10,"109,000",-,7,개인,개인,2002,상현로 142,-,중개거래,경기 용인시 수지구,-
8270,경기도 용인시 수지구 상현동,859,859,0,만현마을1단지롯데캐슬,101.96,202607,10,"96,000",-,14,개인,개인,2002,만현로 25,-,중개거래,경기 용인시 수지구,-
8271,경기도 남양주시 다산동,6133,6133,0,다산 이편한세상자이,84.88,202607,10,"114,500",-,13,개인,개인,2018,다산중앙로81번길 25,-,중개거래,경기 남양주시,-
8272,경기도 남양주시 다산동,6251,6251,0,다산신안인스빌퍼스트리버,84.965,202607,10,"90,000",-,6,개인,개인,2019,다산지금로146번길 100,-,중개거래,경기 남양주시,-
8273,경기도 남양주시 다산동,6163,6163,0,다산푸르지오,59.5205,202607,10,"80,800",-,12,개인,개인,2021,다산중앙로82번안길 74,-,중개거래,경기 남양주시,-
8274,경기도 남양주시 다산동,6163,6163,0,다산푸르지오,59.5591,202607,10,"80,000",-,6,개인,개인,2021,다산중앙로82번안길 74,-,중개거래,경기 남양주시,-
8275,경기도 남양주시 다산동,6163,6163,0,다산푸르지오,59.5591,202607,10,"82,000",-,27,개인,개인,2021,다산중앙로82번안길 74,-,중개거래,경기 남양주시,-
8276,경기도 평택시 동삭동,593-1,593,1,힐스테이트지제역퍼스티움,84.727,202607,10,"56,800",-,13,개인,개인,2022,지제동삭3로 14,-,중개거래,경기 평택시,-
8277,경기도 오산시 양산동,667-1,667,1,오산세마효성백년가약,122.193,202607,10,"43,000",-,4,개인,개인,2010,양산로 422,-,중개거래,경기 오산시,-
8278,충청북도 제천시 신백동,134,134,0,신백덕일한마음2차,59.49,202607,10,"9,300",-,4,개인,개인,2000,의병대로35길 28,-,중개거래,충북 제천시,-
8279,경기도 평택시 동삭동,388-13,388,13,더샵지제역센트럴파크2BL,84.7982,202607,10,"53,000",-,9,개인,개인,2020,지제동삭2로 177,-,중개거래,경기 평택시,-
8280,경기도 평택시 동삭동,388-13,388,13,더샵지제역센트럴파크2BL,83.7111,202607,10,"53,500",-,13,개인,개인,2020,지제동삭2로 177,-,중개거래,경기 평택시,-
8281,경기도 남양주시 다산동,Jan-02,4002,1,"플루리움4,5단지",162.454,202607,10,"85,000",-,14,개인,개인,2000,도농로 34,-,중개거래,경기 남양주시,-
8282,경기도 남양주시 다산동,Jan-02,4002,1,플루리움1단지,162.454,202607,10,"86,100",-,22,개인,개인,2001,도농로 34,-,중개거래,경기 남양주시,-
8283,경기도 평택시 동삭동,219-9,219,9,더샵지제역센트럴파크1BL,59.6236,202607,10,"36,000",-,5,개인,개인,2020,지제동삭1로 163,-,중개거래,경기 평택시,-
